Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,Orig. Scheduled,HomeGame,umpire-HP,umpire-1B,umpire-2B,umpire-3B,temperature,wind,weather,start_time,stadium,turf,Index,year
1,201803290,boxscore,NYM,STL,W,9,4,,1-0,1, Tied,Syndergaard,Martinez,,3:01,D,"44,189",+,,True,Fieldin Culbreth,Brian O'Nora,CB Bucknor,Chris Conroy,50° F,9mph from Right to Left,Normal,1:16 p.m. Local,Citi Field,on grass,0,2018
2,201803310,boxscore,NYM,STL,W,6,2,,2-0,1, Tied,deGrom,Wacha,Familia,3:22,D,"36,098",++,,True,Brian O'Nora,CB Bucknor,Chris Conroy,Fieldin Culbreth,53° F,3mph out to Centerfield,Sunny,1:10 p.m. Local,Citi Field,on grass,1,2018
3,201804010,boxscore,NYM,STL,L,1,5,,2-1,2, 1.0,Weaver,Matz,,3:15,D,"22,486",-,,True,CB Bucknor,Chris Conroy,Fieldin Culbreth,Brian O'Nora,59° F,12mph out to Rightfield,Normal,1:10 p.m. Local,Citi Field,on grass,2,2018
4,201804030,boxscore,NYM,PHI,W,2,0,,3-1,2, 0.5,Blevins,Lively,Familia,2:51,N,"21,397",+,,True,Bill Miller,Angel Hernandez,Todd Tichenor,Alan Porter,40° F,12mph in from Centerfield,Drizzle,7:11 p.m. Local,Citi Field,on grass,3,2018
5,201804040,boxscore,NYM,PHI,W,4,2,,4-1,1,up 0.5,Gsellman,Hutchison,Familia,3:05,D,"21,328",++,,True,Angel Hernandez,Todd Tichenor,Alan Porter,Bill Miller,54° F,20mph out to Rightfield,Normal,2:47 p.m. Local,Citi Field,on grass,4,2018
12,201804130,boxscore,NYM,MIL,W,6,5,,11-1,1,up 3.5,Matz,Davies,Familia,3:10,N,"34,921",+++++++++,,True,David Rackley,Larry Vanover,Hunter Wendelstedt,Chris Guccione,68° F,10mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,5,2018
13,201804140,boxscore,NYM,MIL,L,1,5,,11-2,1,up 3.0,Anderson,Harvey,Hader,2:46,N,"40,965",-,,True,Larry Vanover,Hunter Wendelstedt,Chris Guccione,David Rackley,55° F,20mph in from Rightfield,Normal,7:11 p.m. Local,Citi Field,on grass,6,2018
14,201804150,boxscore,NYM,MIL,W-wo,3,2,,12-2,1,up 3.0,Familia,Albers,,3:28,D,"26,035",+,,True,Hunter Wendelstedt,Chris Guccione,David Rackley,Larry Vanover,42° F,19mph in from Rightfield,Normal,1:11 p.m. Local,Citi Field,on grass,7,2018
15,201804160,boxscore,NYM,WSN,L,6,8,,12-3,1,up 3.0,Cole,Ramos,Madson,3:25,N,"22,829",-,,True,Lance Barksdale,Will Little,Tom Woodring,Ted Barrett,55° F,17mph out to Centerfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,8,2018
16,201804170,boxscore,NYM,WSN,L,2,5,,12-4,1,up 2.0,Gonzalez,Wheeler,Doolittle,3:11,N,"22,724",--,,True,Will Little,Tom Woodring,Ted Barrett,Lance Barksdale,43° F,16mph out to Rightfield,Normal,7:11 p.m. Local,Citi Field,on grass,9,2018
17,201804180,boxscore,NYM,WSN,W,11,5,,13-4,1,up 3.0,Ramos,Madson,,2:51,N,"23,117",+,,True,Tom Woodring,Ted Barrett,Lance Barksdale,Will Little,53° F,11mph out to Rightfield,Sunny,7:10 p.m. Local,Citi Field,on grass,10,2018
27,201805010,boxscore,NYM,ATL,L,2,3,,17-10,1,up 0.5,Soroka,Syndergaard,Vizcaino,2:43,N,"22,527",-,,True,Mike Everitt,Lance Barrett,Nic Lentz,Bill Welke,75° F,9mph out to Rightfield,Sunny,7:11 p.m. Local,Citi Field,on grass,11,2018
28,201805020,boxscore,NYM,ATL,L,0,7,,17-11,2, 0.5,Newcomb,Sewald,,2:24,N,"23,528",--,,True,Lance Barrett,Nic Lentz,Bill Welke,Mike Everitt,86° F,18mph out to Rightfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,12,2018
29,201805030,boxscore,NYM,ATL,L,0,11,,17-12,2, 1.5,Teheran,Vargas,,2:40,D,"26,882",---,,True,Nic Lentz,Bill Welke,Mike Everitt,Lance Barrett,90° F,17mph out to Centerfield,Sunny,1:10 p.m. Local,Citi Field,on grass,13,2018
30,201805040,boxscore,NYM,COL,L,7,8,,17-13,2, 1.5,Marquez,Wheeler,Davis,3:14,N,"34,030",----,,True,Bruce Dreckman,Mike Estabrook,Eric Cooper,Chad Fairchild,74° F,12mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,14,2018
31,201805050,boxscore,NYM,COL,L,0,2,,17-14,3, 1.5,Bettis,Matz,Davis,2:28,N,"37,550",-----,,True,Mike Estabrook,Eric Cooper,Chad Fairchild,Bruce Dreckman,67° F,13mph out to Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,15,2018
32,201805060,boxscore,NYM,COL,L,2,3,,17-15,3, 1.5,Freeland,Robles,Ottavino,3:02,D,"33,580",------,,True,Eric Cooper,Chad Fairchild,Bruce Dreckman,Mike Estabrook,62° F,11mph in from Centerfield,Normal,1:11 p.m. Local,Citi Field,on grass,16,2018
38,201805150,boxscore,NYM,TOR,W,12,2,,20-18,4, 3.5,Syndergaard,Garcia,,3:02,N,"28,967",+,,True,Bill Welke,Nic Lentz,Tony Randazzo,Lance Barrett,67° F,5mph out to Centerfield,Normal,8:36 p.m. Local,Citi Field,on grass,17,2018
39,201805160,boxscore,NYM,TOR,L,1,12,,20-19,4, 4.5,Happ,Wheeler,,3:34,D,"28,400",-,,True,Nic Lentz,Tony Randazzo,Lance Barrett,Bill Welke,60° F,11mph in from Rightfield,Drizzle,1:10 p.m. Local,Citi Field,on grass,18,2018
40,201805180,boxscore,NYM,ARI,W,3,1,,21-19,4, 3.5,deGrom,Godley,Familia,2:36,N,"31,285",+,,True,Vic Carapazza,Jerry Layne,Greg Gibson,Jordan Baker,61° F,11mph in from Rightfield,Normal,7:10 p.m. Local,Citi Field,on grass,19,2018
41,201805190,boxscore,NYM,ARI,W-wo,5,4,,22-19,4, 3.5,Familia,Chafin,,3:04,N,"39,515",++,,True,Jerry Layne,Greg Gibson,Jordan Baker,Vic Carapazza,55° F,7mph in from Rightfield,Normal,7:44 p.m. Local,Citi Field,on grass,20,2018
42,201805200,boxscore,NYM,ARI,W,4,1,,23-19,3, 3.5,Syndergaard,De La Rosa,Gsellman,2:41,D,"34,894",+++,,True,Greg Gibson,Jordan Baker,Vic Carapazza,Jerry Layne,81° F,15mph out to Rightfield,Cloudy,1:12 p.m. Local,Citi Field,on grass,21,2018
43,201805210,boxscore,NYM,MIA,W,2,0,,24-19,3, 2.5,Vargas,Hernandez,Familia,2:52,N,"22,505",++++,,True,Bruce Dreckman,Mike Estabrook,Kerwin Danley,Chad Fairchild,69° F,12mph out to Leftfield,Sunny,7:12 p.m. Local,Citi Field,on grass,22,2018
44,201805220,boxscore,NYM,MIA,L,1,5,,24-20,4, 3.5,Smith,Wheeler,,2:50,N,"22,195",-,,True,Mike Estabrook,Kerwin Danley,Chad Fairchild,Bruce Dreckman,57° F,5mph in from Centerfield,Normal,7:11 p.m. Local,Citi Field,on grass,23,2018
45,201805230,boxscore,NYM,MIA,L,1,2,,24-21,4, 3.5,Conley,Familia,Ziegler,2:47,N,"24,808",--,,True,Kerwin Danley,Chad Fairchild,Bruce Dreckman,Mike Estabrook,80° F,7mph from Left to Right,Sunny,7:11 p.m. Local,Citi Field,on grass,24,2018
54,201805310,boxscore,NYM,CHC,L,1,5,,27-27,4, 5.0,Quintana,Robles,Morrow,3:02,N,"34,458",-,,True,Brian Gorman,Adrian Johnson,Tripp Gibson,Chad Whitson,67° F,7mph from Right to Left,Normal,7:12 p.m. Local,Citi Field,on grass,25,2018
55,201806010,boxscore,NYM,CHC,L,4,7,,27-28,4, 6.0,Rosario,Sewald,Morrow,3:20,N,"37,183",--,,True,Adrian Johnson,Tripp Gibson,Chad Whitson,Brian Gorman,77° F,7mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,26,2018
56,201806020,boxscore,NYM,CHC,L,1,7,14,27-29,4, 6.0,Farrell,Baumann,,4:53,N,"32,817",---,,True,Tripp Gibson,Chad Whitson,Brian Gorman,Adrian Johnson,80° F,11mph in from Centerfield,Normal,7:16 p.m. Local,Citi Field,on grass,27,2018
57,201806030,boxscore,NYM,CHC,L,0,2,,27-30,4, 7.0,Lester,Matz,Duensing,2:30,D,"34,946",----,,True,Chad Whitson,Brian Gorman,Adrian Johnson,Tripp Gibson,62° F,13mph in from Rightfield,Normal,1:10 p.m. Local,Citi Field,on grass,28,2018
58,201806050,boxscore,NYM,BAL,L,1,2,,27-31,4, 7.5,Cobb,Vargas,Brach,2:33,N,"25,342",-----,,True,Sam Holbrook,Alfonso Marquez,D.J. Reyburn,Ryan Blakney,71° F,11mph in from Leftfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,29,2018
59,201806060,boxscore,NYM,BAL,L,0,1,,27-32,4, 8.0,Bundy,Familia,Brach,2:27,D,"30,366",------,,True,Alfonso Marquez,D.J. Reyburn,Ryan Blakney,Sam Holbrook,68° F,7mph in from Leftfield,Cloudy,1:10 p.m. Local,Citi Field,on grass,30,2018
60,201806080,boxscore,NYM,NYY,L,1,4,,27-33,4, 8.0,Green,deGrom,Chapman,2:28,N,"42,961",-------,,True,Mark Wegner,John Tumpane,Mike DiMuro,Jeremie Rehak,77° F,11mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,31,2018
61,201806090,boxscore,NYM,NYY,L,3,4,,27-34,4, 9.0,Robertson,Swarzak,Chapman,2:57,N,"43,603",--------,,True,John Tumpane,Mike DiMuro,Jeremie Rehak,Mark Wegner,76° F,8mph from Right to Left,Cloudy,7:16 p.m. Local,Citi Field,on grass,32,2018
62,201806100,boxscore,NYM,NYY,W,2,0,,28-34,4, 8.0,Lugo,Severino,Swarzak,2:40,N,"36,171",+,,True,Mike DiMuro,Jeremie Rehak,Mark Wegner,John Tumpane,65° F,2mph out to Leftfield,Normal,8:08 p.m. Local,Citi Field,on grass,33,2018
73,201806220,boxscore,NYM,LAD,L,2,5,,31-42,4, 11.5,Wood,Wheeler,Jansen,2:40,N,"32,565",----,,True,Gabe Morales,Ed Hickox,Jerry Meals,Chris Segal,70° F,11mph from Right to Left,Normal,7:10 p.m. Local,Citi Field,on grass,34,2018
74,201806230,boxscore,NYM,LAD,L,3,8,,31-43,4, 11.5,Ferguson,deGrom,,3:01,N,"37,705",-----,,True,Ed Hickox,Jerry Meals,Chris Segal,Gabe Morales,65° F,6mph in from Centerfield,Normal,7:16 p.m. Local,Citi Field,on grass,35,2018
75,201806240,boxscore,NYM,LAD,L,7,8,11,31-44,4, 12.5,Hudson,Flexen,,3:50,D,"34,060",------,,True,Jerry Meals,Chris Segal,Gabe Morales,Ed Hickox,82° F,10mph out to Leftfield,Cloudy,1:11 p.m. Local,Citi Field,on grassView Game Recap from the SABR Game Project,36,2018
76,201806250,boxscore,NYM,PIT,L,4,6,,31-45,4, 13.5,Taillon,Lugo,Vazquez,3:27,N,"22,135",-------,,True,Brian O'Nora,Fieldin Culbreth,CB Bucknor,Chris Conroy,79° F,9mph in from Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,37,2018
77,201806260,boxscore,NYM,PIT,W-wo,4,3,10,32-45,4, 12.5,Peterson,Brault,,3:20,N,"24,501",+,,True,Fieldin Culbreth,CB Bucknor,Chris Conroy,Brian O'Nora,73° F,15mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,38,2018
78,201806270,boxscore,NYM,PIT,L,3,5,,32-46,4, 12.5,Vazquez,Familia,,3:03,N,"24,506",-,,True,CB Bucknor,Chris Conroy,Brian O'Nora,Fieldin Culbreth,72° F,15mph out to Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,39,2018
84,201807060,boxscore,NYM,TBR,W-wo,5,1,,35-49,4, 12.5,Familia,Roe,,2:43,N,"24,236",++,,True,Brian Knight,Nic Lentz,Mark Carlson,Gerry Davis,81° F,16mph from Left to Right,Sunny,7:11 p.m. Local,Citi Field,on grass,40,2018
85,201807070,boxscore,NYM,TBR,L,0,3,,35-50,4, 13.5,Snell,Matz,Romo,2:58,D,"32,986",-,,True,Nic Lentz,Mark Carlson,Gerry Davis,Brian Knight,77° F,7mph from Right to Left,Sunny,4:10 p.m. Local,Citi Field,on grass,41,2018
86,201807080,boxscore,NYM,TBR,L,0,9,,35-51,4, 13.5,Eovaldi,Flexen,,2:42,D,"24,653",--,,True,Mark Carlson,Gerry Davis,Brian Knight,Nic Lentz,80° F,8mph in from Centerfield,Sunny,1:11 p.m. Local,Citi Field,on grass,42,2018
87,201807091,boxscore,NYM,PHI,W-wo,4,3,10,36-51,4, 13.5,Peterson,Arano,,3:24,D,,+,2018-04-02 (Snow),True,Tom Hallion,Phil Cuzzi,Nic Lentz,Dan Bellino,87° F,13mph out to Leftfield,Sunny,4:11 p.m. Local,"3:24Day Game, on grass","see Second game.
Logos via Sports Logos.net
            / About logos",43,2018
88,201807092,boxscore,NYM,PHI,L,1,3,,36-52,4, 13.5,Nola,Oswalt,Arano,2:41,N,"24,139",-,,True,Adam Hamari,Nic Lentz,Dan Bellino,Phil Cuzzi,79° F,17mph out to Leftfield,Sunny,8:08 p.m. Local,Citi Field,on grass,44,2018
89,201807100,boxscore,NYM,PHI,L,3,7,,36-53,4, 14.5,De Los Santos,Gagnon,,2:50,N,"22,416",--,,True,Phil Cuzzi,Dan Bellino,Tom Hallion,Adam Hamari,89° F,9mph out to Centerfield,Sunny,7:11 p.m. Local,Citi Field,on grass,45,2018
90,201807110,boxscore,NYM,PHI,W-wo,3,0,10,37-53,4, 13.5,Gsellman,Leiter,,3:07,N,"22,137",+,,True,Dan Bellino,Tom Hallion,Jeremie Rehak,Phil Cuzzi,80° F,10mph out to Leftfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,46,2018
91,201807120,boxscore,NYM,WSN,L,4,5,,37-54,4, 14.5,Scherzer,Matz,Madson,2:48,N,"28,120",-,,True,Bill Miller,John Libka,Alan Porter,Marvin Hudson,79° F,10mph out to Leftfield,Sunny,7:11 p.m. Local,Citi Field,on grass,47,2018
92,201807130,boxscore,NYM,WSN,W,4,2,,38-54,4, 14.5,Syndergaard,Roark,Gsellman,2:53,N,"26,558",+,,True,John Libka,Alan Porter,Marvin Hudson,Bill Miller,79° F,13mph out to Leftfield,Sunny,7:12 p.m. Local,Citi Field,on grass,48,2018
93,201807140,boxscore,NYM,WSN,W,7,4,,39-54,4, 13.5,Wheeler,Voth,Familia,2:48,D,"30,438",++,,True,Alan Porter,Marvin Hudson,Bill Miller,John Libka,88° F,11mph out to Centerfield,Sunny,4:11 p.m. Local,Citi Field,on grass,49,2018
94,201807150,boxscore,NYM,WSN,L,1,6,,39-55,4, 13.5,Hellickson,Swarzak,,2:54,D,"26,572",-,,True,Marvin Hudson,Bill Miller,John Libka,Alan Porter,77° F,9mph out to Centerfield,Normal,1:57 p.m. Local,Citi Field,on grass,50,2018
97,201807230,boxscore,NYM,SDP,L,2,3,,40-57,5, 14.0,Lucchesi,deGrom,Yates,2:57,N,"21,731",--,,True,Laz Diaz,Manny Gonzalez,Chad Whitson,Andy Fletcher,80° F,19mph out to Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,51,2018
98,201807240,boxscore,NYM,SDP,W,6,3,,41-57,5, 14.0,Wheeler,Lauer,,2:31,N,"21,925",+,,True,Manny Gonzalez,Chad Whitson,Andy Fletcher,Laz Diaz,81° F,17mph out to Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,52,2018
99,201807250,boxscore,NYM,SDP,W,6,4,,42-57,4, 14.0,Oswalt,Richard,Swarzak,2:18,D,"30,963",++,,True,Chad Whitson,Andy Fletcher,Laz Diaz,Manny Gonzalez,77° F,16mph out to Leftfield,Normal,12:46 p.m. Local,Citi Field,on grass,53,2018
106,201808020,boxscore,NYM,ATL,L,2,4,,44-62,4, 15.0,Foltynewicz,Vargas,Minter,2:49,N,"24,525",---,,True,Stu Scheurwater,Cory Blaser,Gary Cederstrom,Chris Segal,86° F,8mph out to Centerfield,Normal,7:11 p.m. Local,Citi Field,on grass,54,2018
107,201808030,boxscore,NYM,ATL,L,1,2,,44-63,4, 16.0,Sanchez,deGrom,Minter,2:26,N,"25,101",----,,True,Cory Blaser,Gary Cederstrom,Chris Segal,Stu Scheurwater,80° F,8mph out to Leftfield,Cloudy,7:09 p.m. Local,Citi Field,on grass,55,2018
108,201808040,boxscore,NYM,ATL,W,3,0,,45-63,4, 16.0,Wheeler,Gausman,Gsellman,2:41,N,"36,946",+,,True,Gary Cederstrom,Chris Segal,Stu Scheurwater,Cory Blaser,87° F,7mph out to Rightfield,Sunny,7:10 p.m. Local,Citi Field,on grass,56,2018
109,201808050,boxscore,NYM,ATL,L,4,5,10,45-64,4, 17.0,Minter,Bashlor,Biddle,3:19,D,"27,134",-,,True,Chris Segal,Stu Scheurwater,Cory Blaser,Gary Cederstrom,91° F,6mph out to Rightfield,Sunny,1:10 p.m. Local,Citi Field,on grass,57,2018
110,201808060,boxscore,NYM,CIN,W,6,4,,46-64,4, 16.0,Syndergaard,Bailey,Blevins,3:05,N,"21,644",+,,True,Kerwin Danley,Ben May,Lance Barksdale,Will Little,89° F,8mph out to Leftfield,Cloudy,7:12 p.m. Local,Citi Field,on grass,58,2018
111,201808070,boxscore,NYM,CIN,L,1,6,,46-65,4, 17.0,Romano,Vargas,,2:43,N,"22,207",-,,True,Ben May,Lance Barksdale,Will Little,Kerwin Danley,81° F,10mph out to Leftfield,Normal,7:11 p.m. Local,Citi Field,on grass,59,2018
112,201808080,boxscore,NYM,CIN,W,8,0,,47-65,4, 16.0,deGrom,Stephenson,,3:08,D,"24,287",+,,True,Lance Barksdale,Will Little,Kerwin Danley,Ben May,88° F,6mph out to Leftfield,Sunny,12:11 p.m. Local,Citi Field,on grass,60,2018
124,201808200,boxscore,NYM,SFG,L,1,2,13,54-70,4, 15.0,Law,Bashlor,,4:20,N,"24,811",-,,True,Brian O'Nora,Chad Whitson,Lance Barrett,Tony Randazzo,73° F,6mph from Right to Left,Cloudy,7:10 p.m. Local,Citi Field,on grass,61,2018
125,201808210,boxscore,NYM,SFG,W,6,3,,55-70,4, 15.0,Oswalt,Watson,,2:24,N,"24,999",+,,True,Chad Whitson,Lance Barrett,Tony Randazzo,Brian O'Nora,75° F,9mph in from Rightfield,Normal,7:10 p.m. Local,Citi Field,on grass,62,2018
126,201808220,boxscore,NYM,SFG,W,5,3,,56-70,4, 15.0,Syndergaard,Kelly,Sewald,2:44,N,"28,157",++,,True,Lance Barrett,Tony Randazzo,Brian O'Nora,Chad Whitson,82° F,13mph out to Rightfield,Sunny,7:11 p.m. Local,Citi Field,on grass,63,2018
127,201808230,boxscore,NYM,SFG,L,1,3,,56-71,4, 16.0,Bumgarner,deGrom,Smith,2:36,D,"25,584",-,,True,Tony Randazzo,Brian O'Nora,Chad Whitson,Lance Barrett,76° F,13mph from Left to Right,Sunny,1:10 p.m. Local,Citi Field,on grass,64,2018
128,201808240,boxscore,NYM,WSN,W,3,0,,57-71,4, 15.0,Vargas,Gonzalez,Gsellman,2:35,N,"23,763",+,,True,Scott Barry,Carlos Torres,Nic Lentz,Paul Nauert,79° F,11mph out to Leftfield,Sunny,7:11 p.m. Local,Citi Field,on grass,65,2018
129,201808250,boxscore,NYM,WSN,W,3,0,,58-71,4, 14.0,Wheeler,Roark,,2:51,D,"29,868",++,,True,Carlos Torres,Nic Lentz,Paul Nauert,Scott Barry,79° F,10mph out to Leftfield,Cloudy,4:06 p.m. Local,Citi Field,on grass,66,2018
130,201808260,boxscore,NYM,WSN,L,0,15,,58-72,4, 15.0,Rodriguez,Matz,,3:25,D,"23,192",-,,True,Nic Lentz,Paul Nauert,Scott Barry,Carlos Torres,82° F,11mph out to Leftfield,Sunny,1:12 p.m. Local,Citi Field,on grass,67,2018
140,201809070,boxscore,NYM,PHI,L,3,4,,63-77,4, 13.5,Nola,Bashlor,Hunter,2:43,N,"23,379",-,,True,Sean Barber,Mark Carlson,Will Little,Lance Barksdale,72° F,11mph in from Centerfield,Normal,7:10 p.m. Local,Citi Field,on grass,68,2018
141,201809080,boxscore,NYM,PHI,W,10,5,,64-77,4, 13.5,Syndergaard,Eflin,,3:12,N,"25,094",+,,True,Mark Carlson,Will Little,Lance Barksdale,Sean Barber,64° F,11mph in from Centerfield,Drizzle,7:11 p.m. Local,Citi Field,on grass,69,2018
142,201809090,boxscore,NYM,PHI,W,6,4,,65-77,4, 13.5,Gagnon,Velasquez,Lugo,3:12,D,"24,153",++,,True,Will Little,Lance Barksdale,Sean Barber,Mark Carlson,61° F,13mph in from Centerfield,Rain,1:37 p.m. Local,Citi Field,on grass,70,2018
143,201809110,boxscore,NYM,MIA,L,3,5,,65-78,4, 15.0,Urena,deGrom,,2:39,N,"20,849",-,,True,Dan Bellino,Adam Hamari,Nick Mahrley,Tom Hallion,73° F,4mph in from Rightfield,Normal,7:12 p.m. Local,Citi Field,on grass,71,2018
144,201809120,boxscore,NYM,MIA,W,13,0,,66-78,4, 15.0,Wheeler,Richards,,2:30,N,"20,423",+,2018-09-10 (Rain),True,Adam Hamari,Tom Hallion,Shane Livensparger,Dan Bellino,73° F,8mph in from Rightfield,Normal,9:45 p.m. Local,Citi Field,on grass,72,2018
145,201809131,boxscore,NYM,MIA,W-wo,4,3,,67-78,4, 14.0,Blevins,Barraclough,,2:33,D,,++,,True,Tom Hallion,Shane Livensparger,Dan Bellino,Adam Hamari,75° F,9mph in from Centerfield,Normal,3:11 p.m. Local,"2:33Day Game, on grass","see Second game.
Logos via Sports Logos.net
            / About logos",73,2018
146,201809132,boxscore,NYM,MIA,W,5,2,,68-78,4, 14.0,Vargas,Brigham,Gsellman,2:47,N,"22,640",+++,,True,Nick Mahrley,Dan Bellino,Adam Hamari,Shane Livensparger,75° F,9mph in from Centerfield,Normal,6:16 p.m. Local,Citi Field,on grass,74,2018
157,201809250,boxscore,NYM,ATL,L,3,7,,73-84,4, 16.0,Winkler,Gsellman,,3:24,N,"21,943",-,,True,Chris Conroy,CB Bucknor,Fieldin Culbreth,Brian O'Nora,72° F,8mph out to Leftfield,Rain,7:42 p.m. Local,Citi Field,on grass,75,2018
158,201809260,boxscore,NYM,ATL,W,3,0,,74-84,4, 15.0,deGrom,Jackson,Lugo,2:22,N,"23,205",+,,True,CB Bucknor,Fieldin Culbreth,Brian O'Nora,Chris Conroy,77° F,10mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,76,2018
159,201809270,boxscore,NYM,ATL,W,4,1,,75-84,4, 14.0,Vargas,Teheran,Gsellman,2:41,N,"24,824",++,,True,Fieldin Culbreth,Brian O'Nora,Chris Conroy,CB Bucknor,69° F,9mph in from Rightfield,Normal,7:10 p.m. Local,Citi Field,on grass,77,2018
160,201809280,boxscore,NYM,MIA,L,1,8,,75-85,4, 15.0,Urena,Sewald,,3:07,N,"27,045",-,,True,Mike Winters,Tim Timmons,Ryan Blakney,Mike Muchlinski,63° F,7mph in from Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,78,2018
161,201809290,boxscore,NYM,MIA,W-wo,1,0,13,76-85,4, 14.0,Zamora,Garcia,,4:14,N,"43,928",+,,True,Tim Timmons,Ryan Blakney,Mike Muchlinski,Mike Winters,69° F,12mph in from Leftfield,Normal,7:12 p.m. Local,Citi Field,on grassView Game Recap from the SABR Game Project,79,2018
162,201809300,boxscore,NYM,MIA,W,1,0,,77-85,4, 13.0,Syndergaard,Alcantara,,2:10,D,"28,346",++,,True,Ryan Blakney,Mike Muchlinski,Ben May,Tim Timmons,71° F,8mph out to Leftfield,Sunny,3:10 p.m. Local,Citi Field,on grass,80,2018
